ds,y,predict
2021-04-06,483.8699951171875,1.0
2021-04-07,482.4599914550781,1.0
2021-04-08,485.4800109863281,1.0
2021-04-09,485.0899963378906,1.0
2021-04-12,483.6700134277344,1.0
2021-04-13,484.9599914550781,1.0
2021-04-14,477.29998779296875,1.0
2021-04-15,480.0,1.0
2021-04-16,478.7900085449219,1.0
2021-04-19,462.0,1.0
2021-04-20,457.260009765625,1.0
2021-04-21,459.7900085449219,1.0
2021-04-22,455.1099853515625,1.0
2021-04-23,466.1300048828125,1.0
2021-04-26,471.8500061035156,1.0
2021-04-27,466.3500061035156,1.0
2021-04-28,459.20001220703125,1.0
2021-04-29,466.2900085449219,1.0
2021-04-30,456.20001220703125,1.0
2021-05-03,450.1400146484375,1.0
2021-05-04,444.5400085449219,1.0
2021-05-05,443.8299865722656,1.0
2021-05-06,448.5799865722656,1.0
2021-05-07,452.5799865722656,1.0
2021-05-10,436.1000061035156,1.0
2021-05-11,440.07000732421875,2.0
2021-05-12,422.3800048828125,2.0
2021-05-13,430.6000061035156,2.0
2021-05-14,441.6199951171875,2.0
2021-05-17,439.94000244140625,2.0
2021-05-18,433.739990234375,2.0
2021-05-19,441.7200012207031,2.0
2021-05-20,455.0,2.0
2021-05-21,451.239990234375,2.0
2021-05-24,459.19000244140625,2.0
2021-05-25,459.5400085449219,2.0
2021-05-26,460.489990234375,1.0
2021-05-27,467.67999267578125,1.0
2021-05-28,472.3299865722656,1.0
2021-06-01,468.30999755859375,1.0
2021-06-02,473.7300109863281,1.0
2021-06-03,464.79998779296875,1.0
2021-06-04,475.0,1.0
2021-06-07,463.7799987792969,0.0
2021-06-08,463.5299987792969,0.0
2021-06-09,463.92999267578125,0.0
2021-06-10,468.6700134277344,0.0
2021-06-11,470.70001220703125,0.0
2021-06-14,475.8299865722656,0.0
2021-06-15,470.739990234375,0.0
2021-06-16,465.75,0.0
2021-06-17,471.1700134277344,0.0
2021-06-18,463.5,0.0
2021-06-21,464.6099853515625,0.0
2021-06-22,464.45001220703125,0.0
2021-06-23,466.6600036621094,0.0
2021-06-24,470.05999755859375,0.0
2021-06-25,462.20001220703125,0.0
2021-06-28,472.79998779296875,0.0
2021-06-29,477.1499938964844,0.0
2021-06-30,476.8399963378906,0.0
2021-07-01,469.6400146484375,0.0
2021-07-02,468.1700134277344,0.0
2021-07-06,473.2799987792969,0.0
2021-07-07,469.5400085449219,0.0
2021-07-08,470.5,1.0
2021-07-09,480.17999267578125,1.0
2021-07-12,485.75,0.0
2021-07-13,484.010009765625,2.0
2021-07-14,481.5899963378906,2.0
2021-07-15,477.3399963378906,2.0
2021-07-16,468.07000732421875,2.0
2021-07-19,465.6700134277344,2.0
2021-07-20,468.5899963378906,2.0
2021-07-21,479.0199890136719,2.0
2021-07-22,476.3299865722656,2.0
2021-07-23,483.1499938964844,2.0
2021-07-26,482.239990234375,2.0
2021-07-27,475.3599853515625,2.0
2021-07-28,477.6499938964844,2.0
2021-07-29,484.1099853515625,1.0
2021-07-30,485.3999938964844,1.0
2021-08-02,484.67999267578125,1.0
2021-08-03,486.7900085449219,2.0
2021-08-04,487.79998779296875,2.0
2021-08-05,487.6700134277344,2.0
2021-08-06,485.42999267578125,2.0
2021-08-09,484.67999267578125,2.0
2021-08-10,482.260009765625,2.0
2021-08-11,483.54998779296875,2.0
2021-08-12,484.260009765625,2.0
2021-08-13,486.1600036621094,2.0
2021-08-16,488.1400146484375,2.0
2021-08-17,478.69000244140625,2.0
2021-08-18,468.9700012207031,2.0
2021-08-19,473.5299987792969,2.0
2021-08-20,475.1700134277344,1.0
2021-08-23,482.45001220703125,1.0
2021-08-24,481.42999267578125,2.0
2021-08-25,483.4100036621094,2.0
2021-08-26,485.739990234375,2.0
2021-08-27,495.94000244140625,2.0
2021-08-30,498.8900146484375,2.0
2021-08-31,497.2099914550781,2.0
2021-09-01,493.1600036621094,2.0
2021-09-02,491.8999938964844,1.0
2021-09-03,497.67999267578125,1.0
2021-09-07,496.5899963378906,2.0
2021-09-08,494.3800048828125,2.0
2021-09-09,493.489990234375,2.0
2021-09-10,498.1499938964844,2.0
2021-09-13,498.9599914550781,2.0
2021-09-14,501.8699951171875,2.0
2021-09-15,509.739990234375,2.0
2021-09-16,507.3500061035156,2.0
2021-09-17,506.0,2.0
2021-09-20,494.82000732421875,1.0
2021-09-21,490.989990234375,1.0
2021-09-22,500.5899963378906,1.0
